line,level1,level2
General Maintenance Works at State House Nairobi,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
General Maintenance Works at State House Sagana,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Refurbishment of buildings at Mombasa State House,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Refurbishment of buildings at Nakuru State House,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
General Works at the Office of the Deputy President,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
General Works at the Cabinet Affairs Office,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
National Fund for the Disabled of Kenya,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Support to the Presidential Policy & Strategy Unit,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Salaries for the President and Vice President.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Maintenance of State House and official residences.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Salaries for Members of Parliament.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Operational costs for the Office of the Prime Minister.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Funding for state ceremonies and national events.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Travel and accommodation expenses for executive officials.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Security and protection services for high-ranking officials.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Legislative research and analysis services.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Public relations and communication services for the executive.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Training and development for legislative staff.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Infrastructure maintenance for government buildings.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
IT systems and support for executive offices.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Healthcare and insurance for government officials.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Expenses for state commissions and committees.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Legal services for the executive and legislative branches.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Funding for civic education and public participation initiatives.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Salaries for staff of the Treasury and Revenue Authority.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Development and maintenance of financial management systems.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Funding for economic research and policy development.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Debt servicing and repayment.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Subsidies and transfers to counties and local governments.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Auditing and financial oversight services.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Implementation of tax reforms and administration.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Investments in national reserves and emergency funds.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Funding for financial regulatory bodies.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Capacity building in financial management for government staff.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Procurement and maintenance of security features for currency.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Contributions to international financial institutions.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Grants and financial assistance to non-governmental organizations.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Development of financial inclusion programs.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Technology upgrades for tax collection and administration.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Salaries for diplomats and foreign service officers.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Operational costs of embassies and consulates.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
"Contributions to international organizations (e.g., UN, AU).",General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Funding for international trade negotiations and agreements.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
International development assistance programs.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
